scan_name,scan_value,receiver,method,G,S,N,R,Pbar,sigma2,mc_mean_T,mc_std_T,mc_p05_T,mc_p50_T,mc_p95_T,mc_mean_T_over_G,mc_mean_T_over_Gtx,mc_mean_G_tx,pi0,q_tx,avg_power,pi_full,beta,P,runtime_sec
G,150.00000000,group_lmmse,local_search,150.00000000,8,8,0.25000000,1.00000000,1.00000000,123.34400000,20.20627361,90.00000000,127.00000000,145.00000000,0.82229333,0.95689016,129.54460000,0.13660647,0.86339353,1.00000000,"[0.13660647186092956, 0.1234624719248338, 0.09816492178631876, 0.11878935646718555, 0.10869298530337194, 0.06791848560464585, 0.1392902692365296, 0.12631093220706943, 0.08076410560911555]","[0.1429967539725954, 0.11369661525944043, 0.13758425630456153, 0.12589043322764437, 0.07866457575960185, 0.16132883175155502, 0.14629589878825683, 0.09354263493634449]","[0.042678539278792484, 0.07762307103590703, 0.15207716723044354, 0.28412390996656584, 0.4867071767980592, 1.1497314401041334, 2.8543235376600427, 4.759892139730479]",0.00000000
G,150.00000000,group_lmmse,PSO_MC,150.00000000,8,8,0.25000000,1.00000000,1.00000000,125.04950000,23.45404142,80.00000000,129.00000000,147.00000000,0.83366333,0.95486066,131.70450000,0.12278067,0.87721933,1.00000000,"[0.1227806676398423, 0.11140217112965337, 0.10667718209593435, 0.11832317233136544, 0.09557603222278739, 0.0859706470353852, 0.13998460092774623, 0.1210464248729165, 0.09823910174436924]","[0.1269946603090996, 0.1216083346099082, 0.134884364681085, 0.10895340389459973, 0.09800359370111152, 0.15957765152201764, 0.13798877932528142, 0.11198921195689683]","[0.04208026884029037, 0.07672830304899234, 0.15647006094340685, 0.2571229319232373, 0.499098813355665, 1.1190699619120463, 2.4045705827225636, 4.615403576879252]",103.71615300
G,200.00000000,group_lmmse,single_power,200.00000000,8,8,0.25000000,1.00000000,1.00000000,36.19780000,11.38722275,0.00000000,39.00000000,48.00000000,0.18098900,0.92790000,40.00210000,0.80000000,0.20000000,1.00000000,"[0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.625, 1.25, 1.875, 2.5, 3.125, 3.75, 4.375, 5.0]",0.00000000
G,200.00000000,group_lmmse,structured_uniform_exp,200.00000000,8,8,0.25000000,1.00000000,1.00000000,119.71430000,11.90647101,101.00000000,120.00000000,138.00000000,0.59857150,0.99796657,120.00390000,0.40000000,0.60000000,1.00000000,"[0.4, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.05228758169934641, 0.10457516339869281, 0.20915032679738563, 0.41830065359477125, 0.8366013071895425, 1.673202614379085, 3.34640522875817, 6.69281045751634]",0.00000000
G,200.00000000,group_lmmse,local_search,200.00000000,8,8,0.25000000,1.00000000,1.00000000,123.51930000,27.10428918,36.00000000,129.00000000,147.00000000,0.61759650,0.94519507,131.60690000,0.34253052,0.65746948,1.00000000,"[0.3425305246213689, 0.11274951105918961, 0.06725759325562757, 0.07985092682653565, 0.06551372795670449, 0.054951107271090295, 0.1232243285160841, 0.09922182866653534, 0.054700451826864074]","[0.17149010757382785, 0.10229766669683713, 0.1214519149813764, 0.09964527694456946, 0.08357970876053891, 0.1874221285256175, 0.15091473046622328, 0.08319846605100951]","[0.06223980640146981, 0.10803637076049269, 0.21370407038631548, 0.32544068158416634, 0.6446329244884846, 1.537009378565974, 3.94979311568248, 6.0439169549320075]",0.00000000
G,200.00000000,group_lmmse,PSO_MC,200.00000000,8,8,0.25000000,1.00000000,1.00000000,130.48300000,24.57268998,77.00000000,136.00000000,154.00000000,0.65241500,0.94701986,138.63660000,0.30729018,0.69270982,1.00000000,"[0.30729018217705883, 0.09567907861624544, 0.07816964544103619, 0.07988826758867108, 0.10491969328917453, 0.07749152830239672, 0.08270748859030941, 0.08686823800403086, 0.08698587799107692]","[0.13812288515983084, 0.11284616361683587, 0.11532717673865968, 0.15146269128813233, 0.11186722969502333, 0.11939702089143726, 0.12540350341365403, 0.12557332919642664]","[0.04642046192676698, 0.07988585458248966, 0.15029101794124947, 0.35815787535488725, 0.718153610531191, 1.3193979224757417, 2.8021943859306315, 6.110566387631277]",106.22002530
G,250.00000000,group_lmmse,single_power,250.00000000,8,8,0.25000000,1.00000000,1.00000000,21.07210000,22.20701729,0.00000000,0.00000000,49.00000000,0.08428840,0.47770000,50.00150000,0.80000000,0.20000000,1.00000000,"[0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.625, 1.25, 1.875, 2.5, 3.125, 3.75, 4.375, 5.0]",0.00000000
G,250.00000000,group_lmmse,structured_uniform_exp,250.00000000,8,8,0.25000000,1.00000000,1.00000000,122.50780000,49.33105203,0.00000000,143.00000000,162.00000000,0.49003120,0.83133425,150.07310000,0.40000000,0.60000000,1.00000000,"[0.4, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.05228758169934641, 0.10457516339869281, 0.20915032679738563, 0.41830065359477125, 0.8366013071895425, 1.673202614379085, 3.34640522875817, 6.69281045751634]",0.00000000
G,250.00000000,group_lmmse,local_search,250.00000000,8,8,0.25000000,1.00000000,1.00000000,81.92770000,36.88739271,19.00000000,102.00000000,119.00000000,0.32771080,0.74984333,112.49890000,0.55054416,0.44945584,1.00000000,"[0.5505441557603175, 0.10703981928041421, 0.020460720472466425, 0.07102706129604801, 0.03387793575576197, 0.027720905840126563, 0.09778514478385882, 0.07978932438899784, 0.01175493242200869]","[0.23815424952697423, 0.04552331610478577, 0.15802900820257487, 0.07537544831143811, 0.06167659447619455, 0.21756340703340074, 0.17752427832810283, 0.026153698016528858]","[0.3260928921738666, 0.3520206775649028, 0.46413839734431184, 0.5725931786482825, 0.9120057037864211, 1.7247840817330604, 7.4576117025306585, 9.914998136300198]",0.00000000
G,250.00000000,group_lmmse,PSO_MC,250.00000000,8,8,0.25000000,1.00000000,1.00000000,133.64750000,25.59037965,90.00000000,139.00000000,157.00000000,0.53459000,0.94987822,141.52680000,0.43425332,0.56574668,1.00000000,"[0.4342533193501378, 0.07346663780884012, 0.07553605154208115, 0.06765105250088342, 0.07777676730886217, 0.06765418558694354, 0.07530110864150955, 0.05967617394803985, 0.06868470331270239]","[0.1298578327042952, 0.13351567782123683, 0.11957834630717407, 0.13747631222426532, 0.1195838842734888, 0.13310039849462774, 0.10548214596591357, 0.12140540220899859]","[0.043604497004065955, 0.09080901062923352, 0.1844917916764077, 0.4282772023350893, 0.8343211603734842, 2.0149687234231424, 3.895952277570366, 7.330247383227564]",104.09259750
R,0.10000000,group_lmmse,single_power,200.00000000,8,8,0.10000000,1.00000000,1.00000000,40.00210000,6.41138099,30.00000000,40.00000000,51.00000000,0.20001050,1.00000000,40.00210000,0.80000000,0.20000000,1.00000000,"[0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.625, 1.25, 1.875, 2.5, 3.125, 3.75, 4.375, 5.0]",0.00000000
R,0.10000000,group_lmmse,structured_uniform_exp,200.00000000,8,8,0.10000000,1.00000000,1.00000000,200.10410000,14.10377094,177.00000000,200.00000000,223.00000000,1.00052050,1.00000000,200.10410000,0.00000000,1.00000000,1.00000000,"[0.0, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.23259379670483446, 0.3256313153867682, 0.4558838415414755, 0.6382373781580656, 0.8935323294212919, 1.2509452611898084, 1.7513233656657319, 2.451852711932024]",0.00000000
R,0.10000000,group_lmmse,local_search,200.00000000,8,8,0.10000000,1.00000000,1.00000000,197.04860000,14.02263533,174.00000000,197.00000000,220.00000000,0.98524300,1.00000000,197.04860000,0.01464530,0.98535470,1.00000000,"[0.014645300874246314, 0.19227558781769774, 0.07342512502582915, 0.12184684472729432, 0.1422435130828041, 0.10838235612122778, 0.12234919647852549, 0.1156536938576029, 0.1091783820147722]","[0.1951333748022843, 0.07451644072025523, 0.12365785116303982, 0.14435767466173174, 0.1099932402183589, 0.12416766935508465, 0.1173726516555059, 0.11080109742373956]","[0.04832014997143304, 0.08387713463022423, 0.19561680725106123, 0.27671714141303216, 0.5862054985442463, 0.9405666578979517, 2.6230387882989463, 4.024404607956516]",0.00000000
R,0.10000000,group_lmmse,PSO_MC,200.00000000,8,8,0.10000000,1.00000000,1.00000000,199.87650000,14.14129575,177.00000000,200.00000000,223.00000000,0.99938250,0.99994522,199.88910000,0.00004331,0.99995669,1.00000000,"[4.330988027856364e-05, 0.35213097126418597, 0.08720294629768101, 0.1561770561407477, 0.041221394718318344, 0.2257154933432458, 0.037481454414532746, 0.01050738501373705, 0.08951998892727286]","[0.35214622267493056, 0.08720672321042273, 0.15618382044331255, 0.041223180089312715, 0.22572526947764274, 0.037483077802144826, 0.010507840107034074, 0.08952386619519985]","[0.1073539837576505, 0.12302394155898304, 0.6244816430023674, 1.2453997401660442, 1.7063115823123667, 2.049928602591472, 3.0488659330476136, 3.447180878659576]",101.82910570
R,0.15000000,group_lmmse,single_power,200.00000000,8,8,0.15000000,1.00000000,1.00000000,40.00210000,6.41138099,30.00000000,40.00000000,51.00000000,0.20001050,1.00000000,40.00210000,0.80000000,0.20000000,1.00000000,"[0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.625, 1.25, 1.875, 2.5, 3.125, 3.75, 4.375, 5.0]",0.00000000
R,0.15000000,group_lmmse,structured_uniform_exp,200.00000000,8,8,0.15000000,1.00000000,1.00000000,200.08220000,14.24376115,177.00000000,200.00000000,223.00000000,1.00041100,0.99990000,200.10410000,0.00000000,1.00000000,1.00000000,"[0.0, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.03137254901960784, 0.06274509803921569, 0.12549019607843137, 0.25098039215686274, 0.5019607843137255, 1.003921568627451, 2.007843137254902, 4.015686274509804]",0.00000000
R,0.15000000,group_lmmse,local_search,200.00000000,8,8,0.15000000,1.00000000,1.00000000,195.47100000,14.24026817,173.00000000,195.00000000,219.00000000,0.97735500,0.99917316,195.65780000,0.02207656,0.97792344,1.00000000,"[0.022076560830239456, 0.10741709630158389, 0.07858777634308604, 0.19428079591968775, 0.12200178838473363, 0.12616469763139931, 0.09678905787293872, 0.16338723643058467, 0.08929499028574658]","[0.10984203057120615, 0.08036189050730358, 0.19866667280684944, 0.12475597117123091, 0.12901285783528296, 0.09897406483590464, 0.16707569313329632, 0.09131081913892608]","[0.03640007442307954, 0.052935611569585456, 0.14947932957364155, 0.2588787700871051, 0.5159477379381235, 0.8242054124317567, 2.7177002584825054, 3.834473693985253]",0.00000000
