receiver,baseline_type,policy_name,G,S,N,R,Pbar,sigma2,num_mc,seed,deterministic_T,deterministic_T_over_G,mc_mean_T,mc_std_T,mc_p05_T,mc_p50_T,mc_p95_T,mc_mean_T_over_G,mc_mean_T_over_Gtx,mc_mean_G_tx,relative_gap,pi_full,pi0,q_tx,beta,P,avg_power
group_mf,single_power,single_power_baseline_q0.2,200.00000000,8,8,0.25000000,1.00000000,1.00000000,10000,20260520,40.00000000,0.20000000,26.76930000,16.95077020,0.00000000,35.00000000,43.00000000,0.13384650,0.72340000,39.93190000,-0.33076750,"[0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]",0.80000000,0.20000000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.625, 1.25, 1.875, 2.5, 3.125, 3.75, 4.375, 5.0]",1.00000000
group_mf,structured_uniform_exp,uniform_beta_exp_power_q0.8_r2,200.00000000,8,8,0.25000000,1.00000000,1.00000000,10000,20260520,140.00000000,0.70000000,55.85910000,49.56150201,0.00000000,46.00000000,141.00000000,0.27929550,0.36808392,159.76430000,-0.60100643,"[0.19999999999999996, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",0.20000000,0.80000000,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.039215686274509796, 0.07843137254901959, 0.15686274509803919, 0.31372549019607837, 0.6274509803921567, 1.2549019607843135, 2.509803921568627, 5.019607843137254]",1.00000000
group_mf,structured_best,init_uniform_exponential_q0.8,200.00000000,8,8,0.25000000,1.00000000,1.00000000,10000,20260520,140.00000000,0.70000000,55.85910000,49.56150201,0.00000000,46.00000000,141.00000000,0.27929550,0.36808392,159.76430000,-0.60100643,"[0.19999999999999996, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",0.20000000,0.80000000,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.039215686274509796, 0.07843137254901959, 0.15686274509803919, 0.31372549019607837, 0.6274509803921567, 1.2549019607843135, 2.509803921568627, 5.019607843137254]",1.00000000
group_mf,random_dirichlet_best,random_dirichlet_random_increments_q0.382,200.00000000,8,8,0.25000000,1.00000000,1.00000000,10000,20260520,76.35380366,0.38176902,56.63700000,29.65934926,0.00000000,70.00000000,82.00000000,0.28318500,0.77121769,76.45050000,-0.25822949,"[0.6182309816850635, 0.08705596573261082, 0.08942821688946359, 0.0031150661019316633, 0.03697703120027912, 0.05243777259871509, 0.014674798128869264, 0.03431985074761606, 0.06376031691545098]",0.61823098,0.38176902,"[0.22803308167032782, 0.23424692051802554, 0.008159557094708822, 0.0968570769924952, 0.13735470947895795, 0.038438944557736304, 0.08989689865117403, 0.16701281103657428]","[0.9428340216910645, 0.9840253306673897, 2.162642387433307, 2.9921372802824817, 3.123387651881187, 4.167375585077411, 4.581831883641396, 5.181235887455095]",1.00000000
group_mf,local_search,init_uniform_exponential_q0.8,200.00000000,8,8,0.25000000,1.00000000,1.00000000,10000,20260520,150.96323124,0.75481616,75.65330000,46.25059363,0.00000000,74.00000000,143.00000000,0.37826650,0.52016736,150.75640000,-0.49886274,"[0.24518384378919855, 0.06834131119104375, 0.08480508539589957, 0.1019870395241481, 0.11662946279843878, 0.0894553680159233, 0.10287782870934244, 0.09375263984955075, 0.09696742072645478]",0.24518384,0.75481616,"[0.0905403396955877, 0.11235197431600233, 0.135115072305985, 0.15451373402488097, 0.118512789213458, 0.13629521289765717, 0.1242059262750703, 0.12846495127135857]","[0.034000288525207555, 0.06029688510433025, 0.12955589167971107, 0.26158036333719387, 0.6157804488398757, 1.2573870761826327, 2.4811606253210288, 5.484155530790992]",1.00000000
group_lmmse,single_power,single_power_baseline_q0.2,200.00000000,8,8,0.25000000,1.00000000,1.00000000,10000,20260520,40.00000000,0.20000000,36.53300000,10.94163987,0.00000000,39.00000000,48.00000000,0.18266500,0.93530000,39.93190000,-0.08667500,"[0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]",0.80000000,0.20000000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.625, 1.25, 1.875, 2.5, 3.125, 3.75, 4.375, 5.0]",1.00000000
group_lmmse,structured_uniform_exp,uniform_beta_exp_power_q0.8_r2,200.00000000,8,8,0.25000000,1.00000000,1.00000000,10000,20260520,160.00000000,0.80000000,93.04450000,60.70728504,0.00000000,117.00000000,161.00000000,0.46522250,0.60395318,159.76430000,-0.41847187,"[0.19999999999999996, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",0.20000000,0.80000000,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.039215686274509796, 0.07843137254901959, 0.15686274509803919, 0.31372549019607837, 0.6274509803921567, 1.2549019607843135, 2.509803921568627, 5.019607843137254]",1.00000000
group_lmmse,structured_best,init_uniform_exponential_q0.8,200.00000000,8,8,0.25000000,1.00000000,1.00000000,10000,20260520,160.00000000,0.80000000,93.04450000,60.70728504,0.00000000,117.00000000,161.00000000,0.46522250,0.60395318,159.76430000,-0.41847187,"[0.19999999999999996, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",0.20000000,0.80000000,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.039215686274509796, 0.07843137254901959, 0.15686274509803919, 0.31372549019607837, 0.6274509803921567, 1.2549019607843135, 2.509803921568627, 5.019607843137254]",1.00000000
group_lmmse,random_dirichlet_best,random_dirichlet_random_increments_q0.55,200.00000000,8,8,0.25000000,1.00000000,1.00000000,10000,20260520,110.05806128,0.55029031,84.27080000,31.34609585,36.00000000,100.00000000,119.00000000,0.42135400,0.77933285,110.19850000,-0.23430597,"[0.44970969361224367, 0.13590092623484765, 0.18739876853113066, 0.014320899780097646, 0.0799866116554724, 0.025206491992847108, 0.03809053846594826, 0.04995098674911703, 0.019435082978295663]",0.44970969,0.55029031,"[0.24696223912599044, 0.34054528374534376, 0.026024263218633856, 0.14535348111167826, 0.04580580777137225, 0.06921898863889518, 0.0907720637076234, 0.035317872680462825]","[0.09824859666124297, 0.7140768268565861, 0.7147176492735623, 2.1251830415962307, 2.6613709690624727, 5.169760525679127, 5.672486473467244, 6.445052564789227]",1.00000000
group_lmmse,local_search,init_uniform_exponential_q0.8,200.00000000,8,8,0.25000000,1.00000000,1.00000000,10000,20260520,171.13602960,0.85568015,41.51870000,52.69760103,0.00000000,16.00000000,155.00000000,0.20759350,0.25954254,171.07310000,-0.75739358,"[0.14431985198763542, 0.11430025226154543, 0.08721637300886771, 0.10948643441136358, 0.11422198821915654, 0.07698243830697664, 0.14127851068433017, 0.12102457073214688, 0.09116958038797758]",0.14431985,0.85568015,"[0.13357824477645097, 0.10192637191766127, 0.12795252369204374, 0.13348678064400535, 0.08996637176379163, 0.16510668269271184, 0.14143669338744327, 0.10654633112589189]","[0.04016434783054132, 0.07789180848511465, 0.15596806313233355, 0.2889724898972389, 0.46908078983118173, 1.1749343941846766, 2.641215934907932, 4.571441193473069]",1.00000000
