receiver,G,q_arrival,R,sigma2,Pbar,T_fixed,T_random,T_single,T_discrete,gain_abs,gain_pct,pi0,pi1,pi2,pi12,fixed_pi0,fixed_pi1,fixed_power,q_tx_random,q_tx_fixed,avg_power_random,avg_power_fixed,E1,E2,E12
OD,1.9166666666666665,0.9583333333333333,0.8,1.0,2.0,1.5333333333333332,1.5333333333333334,1.5333333333333332,1.5333333333333334,2.220446049250313e-16,1.4481169886415086e-14,0.0,0.0,0.2,0.8,0.0,1.0,2.0,0.9583333333333333,0.9583333333333333,1.235408918444918,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
OD,2.0,1.0,0.8,1.0,2.0,1.6,1.6000000000000005,1.6,1.6000000000000005,4.440892098500626e-16,2.7755575615628914e-14,0.0,0.0,0.2,0.8,0.0,1.0,2.0,1.0,1.0,1.235408918444918,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SUD,0.0,0.0,0.8,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SUD,0.08333333333333333,0.041666666666666664,0.8,1.0,2.0,0.06388888888888888,0.06458333333333333,0.06388888888888888,0.06458333333333333,0.000694444444444442,1.0869565217391266,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.041666666666666664,0.041666666666666664,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SUD,0.16666666666666666,0.08333333333333333,0.8,1.0,2.0,0.12222222222222222,0.12499999999999999,0.12222222222222222,0.12499999999999999,0.002777777777777768,2.272727272727265,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.08333333333333333,0.08333333333333333,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SUD,0.25,0.125,0.8,1.0,2.0,0.17500000000000002,0.18125000000000002,0.17500000000000002,0.18125000000000002,0.0062500000000000056,3.5714285714285743,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.125,0.125,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SUD,0.3333333333333333,0.16666666666666666,0.8,1.0,2.0,0.22222222222222224,0.2333333333333333,0.22222222222222224,0.2333333333333333,0.011111111111111072,4.999999999999982,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.16666666666666666,0.16666666666666666,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SUD,0.41666666666666663,0.20833333333333331,0.8,1.0,2.0,0.2638888888888889,0.28124999999999994,0.2638888888888889,0.28124999999999994,0.01736111111111105,6.578947368421029,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.20833333333333331,0.20833333333333331,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SUD,0.5,0.25,0.8,1.0,2.0,0.30000000000000004,0.325,0.30000000000000004,0.325,0.024999999999999967,8.33333333333332,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.25,0.25,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SUD,0.5833333333333333,0.29166666666666663,0.8,1.0,2.0,0.33055555555555555,0.3645833333333333,0.33055555555555555,0.3645833333333333,0.03402777777777777,10.29411764705882,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.29166666666666663,0.29166666666666663,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
